"","x"
"1",403
"2",242
"3",1870575996
"4",-891098689
"5",-64256363
"6",-1479304020
"7",-344521086
"8",2047004253
"9",215445847
"10",2087230526
"11",-1338068872
"12",47922011
"13",-1912781127
"14",708000520
"15",1675301302
"16",-629567759
"17",1994549539
"18",-380626062
"19",-1092316732
"20",-1975481977
"21",850039645
"22",-1283498668
"23",1843810170
"24",296468165
"25",560214047
"26",1651152806
"27",1255065904
"28",848405459
"29",149117425
"30",1409777440
"31",-1933067842
"32",-1131976247
"33",1198067067
"34",-800023734
"35",-68154452
"36",240775855
"37",2134814821
"38",806256668
"39",-1807200654
"40",1319416045
"41",-115277529
"42",2118913358
"43",1301806504
"44",-155465301
"45",57115337
"46",1276568280
"47",1849413510
"48",1771586145
"49",-52216845
"50",-358707614
"51",-1583097644
"52",1503322583
"53",1421239245
"54",-1468127388
"55",265982794
"56",200979125
"57",819847695
"58",-1720474858
"59",-211825216
"60",-1235653245
"61",1394844577
"62",-1131865200
"63",1742260334
"64",-1459909095
"65",2035363499
"66",2120364698
"67",-1741549988
"68",1585015647
"69",-565705419
"70",518493388
"71",1442749986
"72",332370045
"73",1670809975
"74",-1913051490
"75",-820329128
"76",218334395
"77",-149923239
"78",2082234856
"79",1269593110
"80",-253075567
"81",-1720442813
"82",1581303634
"83",-60199964
"84",1874940455
"85",-1121121667
"86",-1380428940
"87",-2139607206
"88",1466952101
"89",1990886847
"90",-1475676602
"91",2119980240
"92",1791823603
"93",-1338558447
"94",-1744486848
"95",-1703357922
"96",1285709033
"97",-1715460581
"98",1947096618
"99",-1807177396
"100",-1943268593
"101",-6052283
"102",490766332
"103",-1926101422
"104",549731277
"105",-927435385
"106",1158410350
"107",1714120776
"108",-171988405
"109",1135822761
"110",-343898376
"111",-823807450
"112",-160634047
"113",-2082385709
"114",825660546
"115",392008372
"116",1261987383
"117",-966947539
"118",393930308
"119",269376362
"120",-1928960043
"121",-1352777361
"122",-1618867082
"123",-1207105632
"124",11182179
"125",-455449343
"126",-1356502928
"127",785896462
"128",2021622905
"129",-1251822581
"130",1139932474
"131",-13255620
"132",-7562369
"133",2053212373
"134",-846967572
"135",-1275951550
"136",77928861
"137",499981335
"138",-822238850
"139",-884426952
"140",908828699
"141",1005597049
"142",1660082120
"143",-1878426634
"144",-1979167183
"145",1136003171
"146",-1065482190
"147",177243524
"148",-1871344697
"149",-1168974179
"150",-671091180
"151",1370680506
"152",-808273659
"153",-1769555233
"154",587745126
"155",863207152
"156",-1676794349
"157",-631394383
"158",-1198597536
"159",-1336506370
"160",-1982388343
"161",-498896709
"162",646073482
"163",273887084
"164",414997743
"165",241809189
"166",-2111159844
"167",-2012733518
"168",-1849252179
"169",241704551
"170",-242573938
"171",-1031677336
"172",-1227188629
"173",1046884361
"174",1755827864
"175",-354002490
"176",1232415009
"177",-1238898253
"178",1517188386
"179",1036906260
"180",413857687
"181",909940621
"182",-916305244
"183",2016543882
"184",-210756875
"185",1753107791
"186",-1060804010
"187",152361216
"188",1160420419
"189",-1593520159
"190",1539202896
"191",-1170050642
"192",691568473
"193",-1924237973
"194",-1354867494
"195",-459926116
"196",2057755039
"197",1786739701
"198",-1821271412
"199",2113064802
"200",1525886781
"201",1713686455
"202",1164985438
"203",1363212696
"204",1700895995
"205",1339848857
"206",261204264
"207",-123039786
"208",-2001281967
"209",1309095683
"210",-1836499310
"211",706632740
"212",149258983
"213",-418728131
"214",1808828340
"215",-728216550
"216",-579127451
"217",1858046463
"218",-517979002
"219",-2102646768
"220",-1981072717
"221",332020049
"222",2113870080
"223",1726274526
"224",1602119721
"225",746561499
"226",-112403222
"227",137366156
"228",1893742031
"229",-1017345659
"230",2110547572
"231",1047681032
"232",-1072141894
"233",959563728
"234",-1680967188
"235",-1938038892
"236",680907474
"237",-1437622688
"238",-134564532
"239",-1430502112
"240",-1621749118
"241",-1987053080
"242",1029122028
"243",135603772
"244",2056314482
"245",841237360
"246",-1068259036
"247",1815335480
"248",2116383130
"249",1794398672
"250",1612570044
"251",-1022519148
"252",1852210306
"253",-734366272
"254",845800252
"255",-292399984
"256",1822724898
"257",-258806264
"258",-12387060
"259",795399580
"260",73113106
"261",1027427200
"262",-2133556460
"263",-1464102616
"264",1344375866
"265",-411755568
"266",-1036733844
"267",-2136118732
"268",-777274734
"269",-1726923424
"270",258079052
"271",1301678048
"272",2104485282
"273",-1804046936
"274",569878156
"275",-2120258116
"276",-814428558
"277",1312693232
"278",-277113276
"279",-1386846120
"280",49092666
"281",972183664
"282",795453500
"283",-671901420
"284",1114673858
"285",1410445024
"286",-245245828
"287",668741328
"288",1370818978
"289",113958952
"290",106949388
"291",680948156
"292",871723826
"293",-594396480
"294",-1205730252
"295",-2135537976
"296",-1521081158
"297",-2020931952
"298",1569541868
"299",-1109292460
"300",671965842
"301",910823712
"302",-764012084
"303",-402713888
"304",-773044030
"305",-227339224
"306",1133938604
"307",548238012
"308",-993170446
"309",-2036142544
"310",-1342154844
"311",-1302487624
"312",-913463462
"313",1311522960
"314",-2037640324
"315",-89177836
"316",1934436674
"317",440998144
"318",1620282812
"319",-1608373936
"320",-90891998
"321",565879368
"322",-155875316
"323",-1111693732
"324",-614983214
"325",-470307328
"326",-1800811180
"327",529464552
"328",-270583558
"329",-1563353392
"330",-2013529300
"331",-1697519372
"332",-2009448046
"333",-1526823584
"334",708830220
"335",1868618976
"336",216076898
"337",2073900200
"338",-1754897332
"339",1501843324
"340",-461117134
"341",-1352768912
"342",1183552324
"343",-1168610344
"344",-1393099910
"345",-1730840528
"346",1608830908
"347",691067476
"348",-1847377854
"349",287082144
"350",-968527172
"351",-625597488
"352",-1779673758
"353",1863393000
"354",1020542156
"355",-373159428
"356",-1611100686
"357",-1231922048
"358",-1406064140
"359",713765512
"360",1072118586
"361",595379536
"362",-2074540948
"363",-1853080172
"364",1568966738
"365",474820064
"366",-1299077940
"367",-2081468768
"368",1697055106
"369",-1422683928
"370",-1151702292
"371",696122684
"372",815155314
"373",223580784
"374",622467620
"375",851560504
"376",-1684731622
"377",74921168
"378",829466940
"379",1212511124
"380",-809511038
"381",-253248576
"382",1977652796
"383",889803152
"384",-884770782
"385",1069448456
"386",-1820309364
"387",975273756
"388",-1435157358
"389",-1643582080
"390",297185300
"391",-1933236440
"392",1491195450
"393",39954896
"394",-145997460
"395",161557428
"396",127275538
"397",1527039968
"398",-2060998196
"399",1746913504
"400",1563464738
"401",-1488069848
"402",-776799732
"403",-1566575812
"404",-1621477390
"405",-13401360
"406",1446967876
"407",-1632672168
"408",528303930
"409",1651415024
"410",1284852412
"411",1565586708
"412",1058454722
"413",488066144
"414",1519054204
"415",-1359708208
