"","x"
"1",2012-09-28
"2",2012-10-01
"3",2012-10-02
"4",2012-10-03
"5",2012-10-04
"6",2012-10-05
"7",2012-10-09
"8",2012-10-10
"9",2012-10-11
"10",2012-10-12
"11",2012-10-15
"12",2012-10-16
"13",2012-10-17
"14",2012-10-18
"15",2012-10-19
"16",2012-10-22
"17",2012-10-23
"18",2012-10-24
"19",2012-10-25
"20",2012-10-26
"21",2012-10-29
"22",2012-10-30
"23",2012-10-31
"24",2012-11-01
"25",2012-11-02
"26",2012-11-05
"27",2012-11-06
"28",2012-11-07
"29",2012-11-08
"30",2012-11-09
"31",2012-11-12
"32",2012-11-13
"33",2012-11-14
"34",2012-11-15
"35",2012-11-16
"36",2012-11-19
"37",2012-11-20
"38",2012-11-21
"39",2012-11-22
"40",2012-11-26
"41",2012-11-27
"42",2012-11-28
"43",2012-11-29
"44",2012-11-30
"45",2012-12-03
"46",2012-12-04
"47",2012-12-05
"48",2012-12-06
"49",2012-12-07
"50",2012-12-10
"51",2012-12-11
"52",2012-12-12
"53",2012-12-13
"54",2012-12-14
"55",2012-12-17
"56",2012-12-18
"57",2012-12-19
"58",2012-12-20
"59",2012-12-21
"60",2012-12-25
"61",2012-12-26
"62",2012-12-27
"63",2012-12-28
"64",2013-01-04
"65",2013-01-07
"66",2013-01-08
"67",2013-01-09
"68",2013-01-10
"69",2013-01-11
"70",2013-01-15
"71",2013-01-16
"72",2013-01-17
"73",2013-01-18
"74",2013-01-21
"75",2013-01-22
"76",2013-01-23
"77",2013-01-24
"78",2013-01-25
"79",2013-01-28
"80",2013-01-29
"81",2013-01-30
"82",2013-01-31
"83",2013-02-01
"84",2013-02-04
"85",2013-02-05
"86",2013-02-06
"87",2013-02-07
"88",2013-02-08
"89",2013-02-12
"90",2013-02-13
"91",2013-02-14
"92",2013-02-15
"93",2013-02-18
"94",2013-02-19
"95",2013-02-20
"96",2013-02-21
"97",2013-02-22
"98",2013-02-25
"99",2013-02-26
"100",2013-02-27
"101",2013-02-28
"102",2013-03-01
"103",2013-03-04
"104",2013-03-05
"105",2013-03-06
"106",2013-03-07
"107",2013-03-08
"108",2013-03-11
"109",2013-03-12
"110",2013-03-13
"111",2013-03-14
"112",2013-03-15
"113",2013-03-18
"114",2013-03-19
"115",2013-03-21
"116",2013-03-22
"117",2013-03-25
"118",2013-03-26
"119",2013-03-27
"120",2013-03-28
"121",2013-03-29
