"","x"
"1",500
"2",481.125269986665
"3",503.997323071061
"4",515.443637044368
"5",523.380587714369
"6",551.025031989987
"7",563.966791417952
"8",601.206221975039
"9",639.507246368102
"10",697.806559086605
"11",724.067782233419
"12",758.338403357167
"13",776.766106869112
"14",824.81052772956
"15",842.524225560177
"16",864.330175156811
"17",861.339707564396
"18",871.800583635846
"19",849.222424999672
"20",816.817628660356
"21",832.396102471974
"22",819.285138415729
"23",801.533357025717
"24",823.936397097813
"25",796.2552790137
"26",818.755073167521
"27",894.063521728283
"28",929.766890211062
"29",981.47047246151
"30",1025.73862587482
"31",1087.89867269129
"32",1104.01564394453
"33",1174.90933153361
"34",1209.89817684567
"35",1188.33933841469
"36",1166.60988293692
"37",1186.6570910215
"38",1196.12422474361
"39",1276.18847211287
"40",1291.28160644142
"41",1292.11514907428
"42",1262.48200364824
"43",1246.40929611129
"44",1242.05572914302
"45",1209.99921391419
"46",1196.13078043516
"47",1131.08414849676
"48",1093.42522214687
"49",1097.67201024411
"50",1116.3093979537
"51",1150.16284828864
"52",1158.1646703463
"53",1120.48259649432
"54",1144.72133733426
"55",1157.77816782264
"56",1138.69971997285
"57",1052.24367607529
"58",976.448005877916
"59",915.324661154222
"60",849.202200742281
"61",840.227997169462
"62",834.743207570721
"63",799.720606486745
"64",777.405178414286
"65",753.991124187791
"66",708.936967474033
"67",669.334019868584
"68",651.598196367981
"69",614.662888386111
"70",596.106524808779
"71",565.00427491273
"72",527.911525757375
"73",507.700284393723
"74",497.874104190231
"75",501.619367025383
"76",508.2074311846
"77",519.582719439923
"78",512.343278030706
"79",509.531926689114
"80",532.449948396132
"81",534.891779852646
"82",537.734429096382
"83",555.91719199097
"84",582.216852792531
"85",636.965050336418
"86",673.897709872412
"87",680.529020382628
"88",679.991643693557
"89",690.430026460187
"90",680.701621775162
"91",657.85670751952
"92",665.796997891441
"93",663.263090884546
"94",663.977239206184
"95",666.547760128321
"96",663.549871040234
"97",652.462866933707
"98",658.224801621418
"99",643.960458453975
"100",637.552944833396
"101",628.061018084472
