"","x"
"1",500
"2",515.163112662579
"3",493.548858093839
"4",493.867451662097
"5",522.502992086979
"6",542.166848053072
"7",508.22848067271
"8",516.030169801343
"9",540.442831659384
"10",547.006450445377
"11",559.250183357415
"12",568.745699683442
"13",579.592906791986
"14",571.517332426384
"15",574.138328079525
"16",580.6870195227
"17",584.726929356624
"18",542.607627049819
"19",575.489800587572
"20",612.152509795493
"21",601.924284780116
"22",595.935038076141
"23",605.111418692375
"24",643.968277386957
"25",655.034329754134
"26",635.305866730048
"27",649.049064800183
"28",685.142156584571
"29",702.874792489584
"30",700.419730184641
"31",706.007669023445
"32",702.832303635279
"33",679.2446652354
"34",668.051731836671
"35",683.742062215387
"36",668.92714730179
"37",672.482119206417
"38",647.096282328784
"39",643.54550869815
"40",657.366344269574
"41",687.016135061433
"42",706.218392670612
"43",698.124054519156
"44",721.730175807803
"45",788.114350515018
"46",743.440736586284
"47",704.651227312539
"48",677.763007172426
"49",626.303691540348
"50",609.708073506296
"51",627.865203505066
"52",669.892238764511
"53",688.821391103838
"54",684.324944408365
"55",658.125371283375
"56",647.759323122199
"57",655.57773867975
"58",608.219227637189
"59",601.791685220379
"60",583.623896795596
"61",585.890651730433
"62",573.19385681433
"63",562.712683643379
"64",592.43461027061
"65",559.339768406462
"66",528.922385425307
"67",540.934774011416
"68",566.537585167609
"69",548.104704532572
"70",569.992617144467
"71",605.247715099006
"72",584.913702023715
"73",589.313721087819
"74",574.103981434958
"75",626.44094514678
"76",625.946278863757
"77",613.831531003875
"78",619.871776316206
"79",660.802682744912
"80",670.592324105094
"81",626.56767868559
"82",632.100931572431
"83",647.461051151072
"84",629.394278331307
"85",636.837953459284
"86",639.30340737354
"87",601.102326512709
"88",593.449669392923
"89",573.691035676997
"90",599.494842897087
"91",597.213270303901
"92",653.371641435902
"93",651.111062347404
"94",634.248388553201
"95",622.946893274007
"96",614.169349941891
"97",614.830638073992
"98",600.730218522772
"99",629.288131200762
"100",619.91925149637
"101",628.061018084472
