"","code","name"
"1","x1332","日水"
"2","x1334","マルハニチロ"
"3","x1605","国際石開帝石"
"4","x1662","石油資源"
"5","x1721","コムシスＨＤ"
"6","x1801","大成建"
"7","x1802","大林組"
"8","x1803","清水建"
"9","x1808","長谷工"
"10","x1812","鹿島"
"11","x1833","奥村組"
"12","x1860","戸田建"
"13","x1878","大東建"
"14","x1883","前田道"
"15","x1911","住友林"
"16","x1925","ハウス"
"17","x1928","積ハウス"
"18","x1944","きんでん"
"19","x1951","協エクシオ"
"20","x1963","日揮"
"21","x1979","大気社"
"22","x2002","日清粉Ｇ"
"23","x2206","グリコ"
"24","x2212","山パン"
"25","x2229","カルビー"
"26","x2264","森永乳"
"27","x2267","ヤクルト"
"28","x2269","明治ＨＤ"
"29","x2270","雪印メグ"
"30","x2282","日ハム"
"31","x2331","ＡＬＳＯＫ"
"32","x2413","エムスリー"
"33","x2432","ディーエヌエ"
"34","x2433","博報堂ＤＹ"
"35","x2501","サッポロＨＤ"
"36","x2502","アサヒ"
"37","x2503","キリンＨＤ"
"38","x2531","宝ＨＬＤ"
"39","x2579","コカウエスト"
"40","x2593","伊藤園"
"41","x2607","不二油"
"42","x2651","ローソン"
"43","x2670","ＡＢＣマート"
"44","x2685","ポイント"
"45","x2768","双日"
"46","x2784","アルフレッサ"
"47","x2801","キッコマン"
"48","x2802","味の素"
"49","x2809","キユーピー"
"50","x2810","ハウス食"
"51","x2811","カゴメ"
"52","x2871","ニチレイ"
"53","x2875","東洋水"
"54","x2897","日清食ＨＤ"
"55","x2914","ＪＴ"
"56","x3003","ヒューリック"
"57","x3086","Ｊフロント"
"58","x3088","マツキヨＨＤ"
"59","x3099","三越伊勢丹"
"60","x3101","東洋紡"
"61","x3105","日清紡ＨＤ"
"62","x3116","トヨタ紡織"
"63","x3231","野村不ＨＤ"
"64","x3382","セブン"
"65","x3391","ツルハＨＤ"
"66","x3401","帝人"
"67","x3402","東レ"
"68","x3405","クラレ"
"69","x3407","旭化成"
"70","x3436","ＳＵＭＣＯ"
"71","x3591","ワコールＨＤ"
"72","x3608","ＴＳＩＨＤ"
"73","x3626","ＩＴＨＤ"
"74","x3632","グリー"
"75","x3659","ネクソン"
"76","x3861","王子ＨＤ"
"77","x3865","北越紀州紙"
"78","x3880","大王紙"
"79","x3941","レンゴー"
"80","x4004","昭電工"
"81","x4005","住友化"
"82","x4021","日産化"
"83","x4042","東ソー"
"84","x4043","トクヤマ"
"85","x4044","セ硝子"
"86","x4045","東合成"
"87","x4061","電化"
"88","x4062","イビデン"
"89","x4063","信越化"
"90","x4088","エアウォータ"
"91","x4091","大陽日酸"
"92","x4114","日触媒"
"93","x4118","カネカ"
"94","x4151","協和キリン"
"95","x4182","菱ガス化"
"96","x4183","三井化学"
"97","x4185","ＪＳＲ"
"98","x4186","東応化"
"99","x4188","三菱ケミＨＤ"
"100","x4202","ダイセル"
"101","x4203","住友ベ"
"102","x4204","積水化"
"103","x4205","ゼオン"
"104","x4206","アイカ"
"105","x4208","宇部興"
"106","x4217","日立化"
"107","x4272","日化薬"
"108","x4307","野村総研"
"109","x4324","電通"
"110","x4401","ＡＤＥＫＡ"
"111","x4403","日油"
"112","x4452","花王"
"113","x4502","武田"
"114","x4503","アステラス"
"115","x4506","大日本住友"
"116","x4507","塩野義"
"117","x4508","田辺三菱"
"118","x4519","中外薬"
"119","x4521","科研薬"
"120","x4523","エーザイ"
"121","x4527","ロート"
"122","x4528","小野薬"
"123","x4530","久光薬"
"124","x4534","持田薬"
"125","x4536","参天薬"
"126","x4540","ツムラ"
"127","x4541","日医工"
"128","x4543","テルモ"
"129","x4544","みらかＨＤ"
"130","x4547","キッセイ"
"131","x4555","沢井製薬"
"132","x4568","第一三共"
"133","x4569","キョーリン"
"134","x4578","大塚ＨＤ"
"135","x4581","大正薬ＨＤ"
