"","x"
"1",-0.0845860713710238
"2",0.755814054226452
"3",0.292331282038461
"4",-0.258503722441918
"5",0.477536709663375
"6",0.369655308156557
"7",0.199366158334786
"8",-0.888965553534757
"9",-3.90001722930274
"10",-4.49319156210399
"11",-5.25298535840606
"12",-4.96093549474537
"13",-4.53953690016628
"14",-5.83402598116717
"15",-5.76474089230372
"16",-6.57777936957577
"17",-5.06692629721792
"18",-5.33853517717781
"19",-3.78028124855645
"20",-4.01763111866099
"21",-2.73450823640805
"22",-2.74399787222999
"23",-3.14408065388922
"24",-3.12209503006801
"25",-1.37932764887022
"26",-2.48650180817625
"27",-3.54699129066607
"28",-1.59582997130845
"29",-0.993123228701342
"30",-3.01373270953672
"31",-1.50705716666118
"32",-0.543346077491598
"33",-2.09723748970252
"34",-2.87087986842624
"35",-1.61010191290049
"36",-1.18164613401943
"37",-0.337062597063226
"38",-1.03621314918518
"39",-1.10107542576905
"40",-0.63009178034549
"41",-0.266591158660729
"42",-0.881147067835906
"43",-0.652197777392946
"44",-0.91425461113684
"45",-0.301698620444817
"46",-2.25931111306953
"47",-2.92281858453416
"48",-2.63903106909699
"49",-2.37031310564808
"50",-3.01041784613645
"51",-1.93046657962058
"52",-2.29561292043941
"53",-1.70624753093795
"54",-1.80234347796943
"55",-0.830835722691394
"56",-0.252366777974486
"57",-1.02954028141156
"58",-1.63038239701043
"59",-3.12970180618663
"60",-2.37553838158546
"61",-1.81824405645971
"62",-1.72336691068627
"63",-3.5048083273447
"64",-4.61360074070076
"65",-4.88104852291751
"66",-5.95770160730017
"67",-6.44885332251285
"68",-4.80965533365825
"69",-4.41287832079208
"70",-6.01095171382595
"71",-7.47864188896978
"72",-6.43850400149292
"73",-5.65567301035976
"74",-6.13276943090049
"75",-6.03874479146517
"76",-5.43976543631732
"77",-8.33706340507084
"78",-7.75336671293839
"79",-5.37728334457565
"80",-6.02354540530296
"81",-5.78047642660114
"82",-6.56996963620813
"83",-7.66366906819617
"84",-5.61906170324577
"85",-7.30039537354626
"86",-6.08511224225675
"87",-6.18083575904764
"88",-7.13223022471163
"89",-6.53096473307759
"90",-9.54549197099008
"91",-8.77600736769155
"92",-7.20706536904552
"93",-7.7097821448282
"94",-8.3276703651996
"95",-9.67910234530855
"96",-8.91001443715342
"97",-8.58054531974566
"98",-8.62469097670526
"99",-9.26192825768177
"100",-9.33121099602676
"101",-9.0343597180618
"102",-10.9349333090544
"103",-12.582298944395
"104",-14.3607043728674
"105",-14.3257609678688
"106",-14.820307407998
"107",-14.2127624812168
"108",-14.5771273283189
"109",-14.4091929853235
"110",-13.8425703185936
"111",-13.9982508920552
"112",-14.8362349790948
"113",-14.2892205093995
"114",-15.3772591664858
"115",-13.9254520084324
"116",-12.538476471861
"117",-12.2783884553101
"118",-10.8347625128238
"119",-12.0260037949116
"120",-12.3243931512239
"121",-13.4688025925604
